period,keyword,url
중기,철분제,https://www.coupang.com/vp/products/7702092129?itemId=20624271310&vendorItemId=93720114454&q=%EC%B2%A0%EB%B6%84%EC%A0%9C&searchId=5db35e2928530021&sourceType=search&itemsCount=36&searchRank=3&rank=3
중기,철분제,https://www.coupang.com/vp/products/1173057697?itemId=2151301050&vendorItemId=70696995063&sourceType=srp_product_ads&clickEventId=b1ff3700-3ae9-11f1-8d02-201b54267526&korePlacement=15&koreSubPlacement=5&clickEventId=b1ff3700-3ae9-11f1-8d02-201b54267526&korePlacement=15&koreSubPlacement=5
중기,철분제,https://www.coupang.com/vp/products/8898285802?itemId=26569668955&vendorItemId=92983539529&sourceType=srp_product_ads&clickEventId=b1ff3700-3ae9-11f1-83b1-a2b41d5cea7d&korePlacement=15&koreSubPlacement=6&clickEventId=b1ff3700-3ae9-11f1-83b1-a2b41d5cea7d&korePlacement=15&koreSubPlacement=6
중기,철분제,https://www.coupang.com/vp/products/8957444099?itemId=26209219223&vendorItemId=94586549705&q=%EC%B2%A0%EB%B6%84%EC%A0%9C&searchId=5db35e2928530021&sourceType=search&itemsCount=36&searchRank=6&rank=6
중기,철분제,https://www.coupang.com/vp/products/8181051045?itemId=7703973376&vendorItemId=81926569218&q=%EC%B2%A0%EB%B6%84%EC%A0%9C&searchId=5db35e2928530021&sourceType=search&itemsCount=36&searchRank=7&rank=7
중기,철분제,https://www.coupang.com/vp/products/9358125147?itemId=27764967802&vendorItemId=94725547899&sourceType=srp_product_ads&clickEventId=b1ff3700-3ae9-11f1-bbaf-5d3ccdfa7cc4&korePlacement=15&koreSubPlacement=9&clickEventId=b1ff3700-3ae9-11f1-bbaf-5d3ccdfa7cc4&korePlacement=15&koreSubPlacement=9
중기,철분제,https://www.coupang.com/vp/products/7273912303?itemId=18557338120&vendorItemId=70901714196&sourceType=srp_product_ads&clickEventId=b1ff5e10-3ae9-11f1-9cd1-548243c10c5c&korePlacement=15&koreSubPlacement=11&clickEventId=b1ff5e10-3ae9-11f1-9cd1-548243c10c5c&korePlacement=15&koreSubPlacement=11
중기,철분제,https://www.coupang.com/vp/products/8752336698?itemId=25590880284&vendorItemId=90874431908&sourceType=srp_product_ads&clickEventId=b1ff5e10-3ae9-11f1-b849-a1b65dfd69dd&korePlacement=15&koreSubPlacement=12&clickEventId=b1ff5e10-3ae9-11f1-b849-a1b65dfd69dd&korePlacement=15&koreSubPlacement=12
중기,철분제,https://www.coupang.com/vp/products/1999000656?itemId=3402214170&vendorItemId=71388838788&sourceType=SDW_TOP_SELLING_WIDGET_V2&searchId=5db35e2928530021&q=%EC%B2%A0%EB%B6%84%EC%A0%9C
중기,철분제,https://www.coupang.com/vp/products/2557580?itemId=7674336038&vendorItemId=78774343173&q=%EC%B2%A0%EB%B6%84%EC%A0%9C&searchId=5db35e2928530021&sourceType=search&itemsCount=36&searchRank=12&rank=12
중기,철분제,https://www.coupang.com/vp/products/9400764709?itemId=27923537005&vendorItemId=94882048525&q=%EC%B2%A0%EB%B6%84%EC%A0%9C&searchId=5db35e2928530021&sourceType=search&itemsCount=36&searchRank=15&rank=15
중기,철분제,https://www.coupang.com/vp/products/6675314035?itemId=28147049077&vendorItemId=95102436078&q=%EC%B2%A0%EB%B6%84%EC%A0%9C&searchId=5db35e2928530021&sourceType=search&itemsCount=36&searchRank=16&rank=16
